body,title,url
"La mucormicosis afecta principalmente a pacientes con problemas de salud de base, como diabetes o sida, o que toman medicamentos que reducen la capacidad del cuerpo para combatir gérmenes y enfermedades, como es el caso de enfermos de Covid-19.","
                                            Gobernador de Mérida confirmó primer caso de hongo negro relacionado con Covid-19                                        ",http://www.eluniversal.com/venezuela/104726/gobernador-de-merida-confirmo-primer-caso-de-hongo-negro-relacionado-con-covid19
"Detenido e imputado en Lara el aberrado sexual José Parra (42 años) por los delitos de actos lascivos y amenaza, el sujeto cuenta con registros policiales por droga (Lara) y violencia sexual (Portuguesa), indicó el fiscal desde su cuenta de Twitter. ","
                                            Detienen a depravado sexual en Lara                                        ",http://www.eluniversal.com/venezuela/104526/detienen-a-depravado-sexual-en-lara
"Rampolla del Tindaro viene a ocupar el cargo que ejercía de forma interina el representante de Países Bajos Jan Harfst, quien también es el representante residente del PNUD en nuestro país, luego de la salida de Peter Grohmann, reseñan Agencias. ","
                                            ONU designa al italiano Gianluca Rampolla como su coordinador en Venezuela                                        ",http://www.eluniversal.com/politica/104737/onu-designa-al-italiano-gianluca-rampolla-como-su-coordinador-en-venezuela
"•	El memorando de entendimiento de México recibió el respaldado de la AN y del Consejo Moral, y fue publicado en Gaceta Oficial.","
                                            Día a Día                                        ",http://www.eluniversal.com/politica/104770/dia-a-dia
"La multitud de 27.282 espectadores reunidos en el Comerica Park de Detroit esperaba ver a Cabrera pegar el jonrón número 500 de su carrera (tiene 499), pero el toletero se fue de 4-1 con un sencillo en la primera entrada, para colocarse a 48 hits de la mítica cifra delos 3.000.","
                                            Ohtani batea jonrón 40 y Miguel Cabrera llega a 2.952 hits en su carrera                                        ",http://www.eluniversal.com/deportes/104780/ohtani-batea-jonron-40-y-miguel-cabrera-llega-a-2952-hits-en-su-carrera
" Joel Graterol, Rafael Romo, Wuilker Faríñez, José Contreras, Yhonatann Yustiz y Luis Romero.","
                                            La Vinotinto convoca sus armas de cara a las próximas eliminatorias de Qatar                                        ",http://www.eluniversal.com/deportes/104781/la-vinotinto-convoca-sus-armas-de-cara-a-las-proximas-eliminatorias-de-qatar
"A través de la red social Twitter, el diplomático venezolano aseguró que esperan seguir trabajando en términos de respeto y sana cooperación con la ONU.","
                                            Arreaza espera trabajar con respeto y cooperación con nuevo representante ONU en Venezuela                                        ",http://www.eluniversal.com/politica/104738/arreaza-espera-trabajar-con-respeto-y-cooperacion-con-nuevo-representante-onu-en-venezuela
"Afganistán después de 20 años tiene nuevamente un gobierno islamista radical. El 11 de septiembre del 2001, cuando el gobierno talibán se negó a entregar a su líder fundador Osama bin Laden, comenzó la tragedia cuyo epílogo hemos visto en estos días. Las Naciones Unidas y la Unión Europea han llamado al diálogo igual que la Organización del Tratado del Atlántico Norte para una solución política. El retiro de las tropas ordenada por Washington fue un castillo de naipes para todos los miembros de la OTAN. Las fuerzas afganas nunca tuvieron la potencia para vencer la insurgencia talibana, aunque EEUU otorgó más de mil millones de dólares equipando y entrenando a 300 mil militares afganos. Señaló que los militares afganos no tuvieron la voluntad de combatir y ratificó que los adversarios para su nación en la geopolítica mundial seguían siendo Rusia y China, quienes estarían deseando que los estadounidenses se consumieran en su propio laberinto. El vocero del Departamento de Estado, Ned Price, abrió la posibilidad del diálogo con las nuevas autoridades, condicionándola a la preservación de los derechos fundamentales, especialmente los de la población femenina.","
                                            Afganistán: nuevo Emirato Islámico                                        ",http://www.eluniversal.com/el-universal/104706/afganistan-nuevo-emirato-islamico
"De acuerdo con el documento, el Ejecutivo después de más de 18 meses, “recibirá este mes de agosto por primera vez, más de 1.500 millones de dólares líquidos o en efectivo, producto del trueque, aumento de la salida de buques de petróleo para su comercialización y otros ingresos.","
                                            Socías López: Venezuela recibirá más de $1.500 por exportación petrolera                                         ",http://www.eluniversal.com/economia/104728/socias-lopez-venezuela-recibira-mas-de-1500-por-exportacion-petrolera
 ,"
                                            Reportan avería en cableado de Línea 2 del Metro de Caracas                                        ",http://www.eluniversal.com/caracas/104556/reportan-averia-en-cableado-de-linea-2-del-metro-de-caracas
" Los municipios Ezequiel Zamora, Antonio José de Sucre y Pedraza de Barinas, están en una crítica situación debido a las inundaciones presuntamente originadas por la apertura de compuertas de la represa Caparo y las precipitaciones registradas en la zona durante las últimas horas.","
                                            Inundación en tres municipios de Barinas al desbordarse los ríos Suripá y Anaro                                        ",http://www.eluniversal.com/venezuela/104753/inundacion-en-tres-municipios-de-barinas-al-desbordarse-los-rios-suripa-y-anaro
"Para resolver este dilema se necesita caer en cuenta de que se basa en una forma destructiva de hacer política; en la que los partidos de ambos bandos tienen como motivación principal el alcanzar o mantenerse en el poder. Con base en este enfoque, el hacer política consiste en asegurar la lealtad automática de los propios (clientelismo y corrupción), mantener el control de movimiento entre el menor número posible de actores y en descalificar a los ajenos. Los resultados han sido la hegemonía política (control de los poderes públicos, centralismo, estatismo y desprecio por el pluralismo y la sordera ante la crítica); la polarización y descalificación del “otro” (como sustitución del consenso como valor político);  la pobreza, la desconexión de la población con respecto a los partidos y el gobierno, la abstención electoral y la pérdida de la soberanía nacional, hasta convertirnos en un país fallido, objeto de lástima y preocupación en el exterior. ","
                                            El dilema de la unidad entre los partidos                                        ",http://www.eluniversal.com/el-universal/104714/el-dilema-de-la-unidad-entre-los-partidos
 Las playas de la costa de Anzoátegui presentaron este miércoles fuertes oleajes como consecuencia de las lluvias y de los vientos que afectan a parte del Mar Caribe.,"
                                            Playas de Anzoátegui presentan fuerte oleaje                                        ",http://www.eluniversal.com/venezuela/104768/playas-de-anzoategui-presentan-fuerte-oleaje
"A juicio del abogado y criminólogo Luis Izquiel, “es positivo que se haya realizado el operativo que aparentemente acabó con el feudo criminal que tenía el Koki en la Cota 905, al menos los vecinos tendrán un poco de normalidad por un tiempo”.","
                                            Otras bandas esperan para ocupar el espacio que dejaron Koki y Loco Leo                                        ",http://www.eluniversal.com/sucesos/104075/otras-bandas-esperan-para-ocupar-el-espacio-que-dejaron-koki-y-loco-leo
