body,title,url
Con información de ,"
                                            Consejo Moral apoya memorándum de Entendimiento al diálogo en México                                        ",http://www.eluniversal.com/politica/104729/consejo-moral-apoya-memorandum-de-entendimiento-al-dialogo-en-mexico
"A juicio del abogado y criminólogo Luis Izquiel, “es positivo que se haya realizado el operativo que aparentemente acabó con el feudo criminal que tenía el Koki en la Cota 905, al menos los vecinos tendrán un poco de normalidad por un tiempo”.","
                                            Otras bandas esperan para ocupar el espacio que dejaron Koki y Loco Leo                                        ",http://www.eluniversal.com/sucesos/104075/otras-bandas-esperan-para-ocupar-el-espacio-que-dejaron-koki-y-loco-leo
"La importante casa de sangrías conquista el mercado y los paladares más exigentes a través del lanzamiento de Lolea Rosé, un cóctel de vino con la gracia y frescura de un blanco y la seriedad y profundidad de un tinto; aparece este rosado de uvas Garnacha y tempranillo para todos aquellos que disfrutan del equilibrio de ambos, es un refrescante sorbo con aroma de la flor de hibisco, sabor de fondo picante y especiado del jengibre con un toque frizzante del fino carbónico, que despertará todos tus sentidos.","
                                            Lolea Rosé, la nueva propuesta burbujeante e innovadora de la casa española Lolea                                        ",http://www.eluniversal.com/gastronomia/104756/lolea-rose-la-nueva-propuesta-burbujeante-e-innovadora-de-la-casa-espanola-lolea
"A través de la red social Twitter, el diplomático venezolano aseguró que esperan seguir trabajando en términos de respeto y sana cooperación con la ONU.","
                                            Arreaza espera trabajar con respeto y cooperación con nuevo representante ONU en Venezuela                                        ",http://www.eluniversal.com/politica/104738/arreaza-espera-trabajar-con-respeto-y-cooperacion-con-nuevo-representante-onu-en-venezuela
"Los datos obtenidos durante la jornada reflejaron una elevación porcentual del 1,53%, frente a los números del día previo.","
                                            Bolsa de Valores de Caracas cerró la jornada con números verdes                                        ",http://www.eluniversal.com/economia/104748/bolsa-de-valores-de-caracas-cerro-la-jornada-con-numeros-verdes
  ,"
                                            En la tierra                                        ",http://www.eluniversal.com/el-universal/104590/en-la-tierra
 ,"
                                            Dieciocho candidatas competirán por el título del Miss Venezuela 2021                                        ",http://www.eluniversal.com/entretenimiento/104700/dieciocho-candidatas-competiran-por-el-titulo-del-miss-venezuela-2021
" El belga consiguió en la meta de Albacete su segundo triunfo en esta Vuelta después del logrado en Burgos, de nuevo por delante de otro sprinter en buena forma en esta ronda española, el neerlandés Fabio Jakobsen (Deceuninck-Quick Step), vencedor el martes en Molina de Aragón.","
                                            El francés Kenny Elissonde es el nuevo maillot rojo de la Vuelta a España                                        ",http://www.eluniversal.com/deportes/104740/el-frances-kenny-elissonde-es-el-nuevo-maillot-rojo-de-la-vuelta-a-espana
 ,"
                                            Reportan avería en cableado de Línea 2 del Metro de Caracas                                        ",http://www.eluniversal.com/caracas/104556/reportan-averia-en-cableado-de-linea-2-del-metro-de-caracas
 ,"
                                            Onda tropical N° 36 generará lluvias en gran parte del país                                        ",http://www.eluniversal.com/venezuela/104704/onda-tropical-n-36-generara-lluvias-en-gran-parte-del-pais
"Por otra parte, la revista francesa Paris Macht ha publicado que Charlene tiene entre sus amistades más cercanas a una numeróloga que se llama Dawn Earl y quien se ha convertido en su confidente. Según la publicación francesa, la maga determina todos los movimientos de la esposa de Alberto, indicándole cuando y donde puede asistir y quienes deben formar su círculo de amistades.","
                                            Una numeróloga en la vida de la princesa Charlene                                        ",http://www.eluniversal.com/sociales/104640/una-numerologa-en-la-vida-de-charlene
"De acuerdo con el documento, el Ejecutivo después de más de 18 meses, “recibirá este mes de agosto por primera vez, más de 1.500 millones de dólares líquidos o en efectivo, producto del trueque, aumento de la salida de buques de petróleo para su comercialización y otros ingresos.","
                                            Socías López: Venezuela recibirá más de $1.500 por exportación petrolera                                         ",http://www.eluniversal.com/economia/104728/socias-lopez-venezuela-recibira-mas-de-1500-por-exportacion-petrolera
"Detenido e imputado en Lara el aberrado sexual José Parra (42 años) por los delitos de actos lascivos y amenaza, el sujeto cuenta con registros policiales por droga (Lara) y violencia sexual (Portuguesa), indicó el fiscal desde su cuenta de Twitter. ","
                                            Detienen a depravado sexual en Lara                                        ",http://www.eluniversal.com/venezuela/104526/detienen-a-depravado-sexual-en-lara
"Venezuela Sin Límites es un articulador de alianzas, dice su presidenta Mireya Blavia de Cisneros (CORTESÍA)","
                                            Venezuela Sin Límites: 22 años de solidaridad en hechos concretos                                        ",http://www.eluniversal.com/sociales/104622/venezuela-sin-limites-22-anos-de-solidaridad-en-hechos-concretos
"La mucormicosis afecta principalmente a pacientes con problemas de salud de base, como diabetes o sida, o que toman medicamentos que reducen la capacidad del cuerpo para combatir gérmenes y enfermedades, como es el caso de enfermos de Covid-19.","
                                            Gobernador de Mérida confirmó primer caso de hongo negro relacionado con Covid-19                                        ",http://www.eluniversal.com/venezuela/104726/gobernador-de-merida-confirmo-primer-caso-de-hongo-negro-relacionado-con-covid19
  ,"
                                            Esposo de Scarlett Johansson confirma que la actriz está embarazada                                        ",http://www.eluniversal.com/entretenimiento/104708/esposo-de-scarlett-johansson-confirma-que-la-actriz-esta-embarazada
" Los municipios Ezequiel Zamora, Antonio José de Sucre y Pedraza de Barinas, están en una crítica situación debido a las inundaciones presuntamente originadas por la apertura de compuertas de la represa Caparo y las precipitaciones registradas en la zona durante las últimas horas.","
                                            Inundación en tres municipios de Barinas al desbordarse los ríos Suripá y Anaro                                        ",http://www.eluniversal.com/venezuela/104753/inundacion-en-tres-municipios-de-barinas-al-desbordarse-los-rios-suripa-y-anaro
